candidate_representation,candidate_strategy,candidate_k,rerank_representation,reranker_model,candidate_recall,evaluated_query_count,eligible_gold_count,mrr,ndcg_at_5,mean_gold_rank,median_gold_rank,max_gold_rank,recall_at_1,recall_at_3,recall_at_5,recall_at_10,recall_at_15,recall_at_20,recall_at_30,score_all_visible_mean_ms,score_all_visible_p95_ms,status
P0,dense,10,P0,BAAI/bge-reranker-base,0.5714285714285714,14,21,0.22939415082272224,0.15902102753792263,11.095238095238095,10,29,0.047619047619047616,0.23809523809523808,0.23809523809523808,0.5714285714285714,0.7619047619047619,0.8571428571428571,1.0,4621.19940485614,22375.93211619969,AVAILABLE
P0,dense,10,P1,BAAI/bge-reranker-base,0.5714285714285714,14,21,0.22522748415605556,0.21261020873841058,10.666666666666666,9,29,0.0,0.23809523809523808,0.38095238095238093,0.5714285714285714,0.7619047619047619,0.8571428571428571,1.0,1391.9795174286785,2632.946130703203,AVAILABLE
P0,dense,10,P8,BAAI/bge-reranker-base,0.5714285714285714,14,21,0.27879891272748414,0.2356251130519515,10.571428571428571,9,29,0.047619047619047616,0.2857142857142857,0.38095238095238093,0.5714285714285714,0.7619047619047619,0.8571428571428571,1.0,3164.5920944283716,10849.590550750136,AVAILABLE
P0,dense,15,P0,BAAI/bge-reranker-base,0.7619047619047619,14,21,0.24660194303051444,0.20105133323515972,11.095238095238095,11,29,0.047619047619047616,0.23809523809523808,0.2857142857142857,0.47619047619047616,0.7619047619047619,0.8571428571428571,1.0,4621.19940485614,22375.93211619969,AVAILABLE
P0,dense,15,P1,BAAI/bge-reranker-base,0.7619047619047619,14,21,0.216502479002479,0.23571927569685958,10.380952380952381,8,29,0.0,0.23809523809523808,0.42857142857142855,0.5238095238095238,0.7619047619047619,0.8571428571428571,1.0,1391.9795174286785,2632.946130703203,AVAILABLE
P0,dense,15,P8,BAAI/bge-reranker-base,0.7619047619047619,14,21,0.2741032116032116,0.2625690641475264,10.333333333333334,9,29,0.047619047619047616,0.2857142857142857,0.42857142857142855,0.5238095238095238,0.7619047619047619,0.8571428571428571,1.0,3164.5920944283716,10849.590550750136,AVAILABLE
P0,dense,20,P0,BAAI/bge-reranker-base,0.8571428571428571,14,21,0.24290732415732413,0.20105133323515972,11.476190476190476,12,29,0.047619047619047616,0.23809523809523808,0.2857142857142857,0.42857142857142855,0.7142857142857143,0.8571428571428571,1.0,4621.19940485614,22375.93211619969,AVAILABLE
P0,dense,20,P1,BAAI/bge-reranker-base,0.8571428571428571,14,21,0.21289031735460306,0.23571927569685958,10.476190476190476,8,29,0.0,0.23809523809523808,0.42857142857142855,0.5238095238095238,0.7619047619047619,0.8571428571428571,1.0,1391.9795174286785,2632.946130703203,AVAILABLE
P0,dense,20,P8,BAAI/bge-reranker-base,0.8571428571428571,14,21,0.27042563917563917,0.2625690641475264,10.428571428571429,10,29,0.047619047619047616,0.2857142857142857,0.42857142857142855,0.5238095238095238,0.8095238095238095,0.8571428571428571,1.0,3164.5920944283716,10849.590550750136,AVAILABLE
P0,dense,30,P0,BAAI/bge-reranker-base,1.0,14,21,0.24416793380302695,0.20105133323515972,11.571428571428571,12,27,0.047619047619047616,0.23809523809523808,0.2857142857142857,0.47619047619047616,0.6666666666666666,0.8095238095238095,1.0,4621.19940485614,22375.93211619969,AVAILABLE
