term,field,document_frequency,document_frequency_rate,total_occurrences
贵州茅台,summary,47,1.0,74
贵州茅台,keywords,47,1.0,47
贵州茅台,embedding_text,47,1.0,122
2023,summary,47,1.0,117
2023,keywords,47,1.0,47
2023,embedding_text,47,1.0,169
2024,summary,33,0.7021276595744681,84
2024,keywords,1,0.02127659574468085,1
2024,embedding_text,33,0.7021276595744681,90
2025,summary,47,1.0,174
2025,keywords,47,1.0,48
2025,embedding_text,47,1.0,229
营业收入,summary,45,0.9574468085106383,68
营业收入,keywords,32,0.6808510638297872,32
营业收入,embedding_text,45,0.9574468085106383,102
归母净利润,summary,39,0.8297872340425532,69
归母净利润,keywords,32,0.6808510638297872,33
归母净利润,embedding_text,39,0.8297872340425532,104
总资产,summary,42,0.8936170212765957,69
总资产,keywords,29,0.6170212765957447,29
总资产,embedding_text,42,0.8936170212765957,101
归母股东权益,summary,42,0.8936170212765957,58
归母股东权益,keywords,26,0.5531914893617021,26
归母股东权益,embedding_text,42,0.8936170212765957,84
年度报告,summary,41,0.8723404255319149,44
年度报告,keywords,15,0.3191489361702128,15
年度报告,embedding_text,42,0.8936170212765957,60
同比,summary,45,0.9574468085106383,144
同比,keywords,36,0.7659574468085106,36
同比,embedding_text,45,0.9574468085106383,183
亿元,summary,43,0.9148936170212766,301
亿元,keywords,0,0.0,0
亿元,embedding_text,43,0.9148936170212766,301
盈利,summary,16,0.3404255319148936,21
盈利,keywords,7,0.14893617021276595,7
盈利,embedding_text,16,0.3404255319148936,37
增长,summary,14,0.2978723404255319,16
增长,keywords,6,0.1276595744680851,7
增长,embedding_text,16,0.3404255319148936,25
