session_id,query_id,reference_group,gold_page_id,baseline_rank,old_rewrite_only_rank,reference_resolution_only_rank,baseline_score,old_rewrite_only_score,reference_resolution_only_score,old_rewrite_only_transition,reference_resolution_only_transition,old_promoted,old_demoted,ref_promoted,ref_demoted,old_rank_movement,ref_rank_movement,old_reference_required_additions,old_context_supported_not_required_additions,ref_reference_required_additions,ref_context_supported_not_required_additions
S001,S001-Q007,UNCHANGED,2631e802-75be-5089-9418-baece6a717cf,3,3,3,0.35526493191719055,0.7106339931488037,0.35526493191719055,UNCHANGED_HIT,UNCHANGED_HIT,False,False,False,False,0,0,1,5,0,0
S001,S001-Q011,UNCHANGED,2631e802-75be-5089-9418-baece6a717cf,6,1,6,0.4535906910896301,0.7962505221366882,0.4535906910896301,UNCHANGED_HIT,UNCHANGED_HIT,True,False,False,False,5,0,3,2,0,0
S001,S001-Q011,UNCHANGED,dc12b285-c21d-5cfe-84a2-d016fce5ffe6,1,6,1,0.5185934901237488,0.7532065510749817,0.5185934901237488,UNCHANGED_HIT,UNCHANGED_HIT,False,True,False,False,-5,0,3,2,0,0
S001,S001-Q013,UNCHANGED,2631e802-75be-5089-9418-baece6a717cf,9,5,9,0.3880617618560791,0.7839245200157166,0.3880617618560791,RESCUED,UNCHANGED_MISS,True,False,False,False,4,0,4,5,0,0
S001,S001-Q013,UNCHANGED,9b4b60a1-f0f9-5368-b4ce-b441752321bb,7,2,7,0.4383961260318756,0.8177057504653931,0.4383961260318756,RESCUED,UNCHANGED_MISS,True,False,False,False,5,0,4,5,0,0
S001,S001-Q014,UNCHANGED,f99dbe58-f286-568d-b1fe-f1ebe59c0e0a,1,4,1,0.6648146510124207,0.7998233437538147,0.6648146510124207,UNCHANGED_HIT,UNCHANGED_HIT,False,False,False,False,-3,0,3,3,0,0
S001,S001-Q021,UNCHANGED,f1228bac-12d1-520f-9787-52a8cdcd49db,6,12,6,0.5378081798553467,0.7160496711730957,0.5378081798553467,UNCHANGED_MISS,UNCHANGED_MISS,False,False,False,False,-6,0,1,3,0,0
S001,S001-Q022,UNCHANGED,34fa3574-894f-575c-b9b0-0a183473746e,16,16,16,0.5138569474220276,0.7452306747436523,0.5138569474220276,UNCHANGED_MISS,UNCHANGED_MISS,False,False,False,False,0,0,3,1,0,0
S001,S001-Q022,UNCHANGED,55e7e466-3b1c-5014-85fc-2a14618ce254,13,15,13,0.5241682529449463,0.7469966411590576,0.5241682529449463,UNCHANGED_MISS,UNCHANGED_MISS,False,False,False,False,-2,0,3,1,0,0
S001,S001-Q026,UNCHANGED,289ba3d6-8b24-5c77-8df9-7af211ee1007,21,22,21,0.3901694118976593,0.6631518602371216,0.3901694118976593,HURT,UNCHANGED_HIT,False,False,False,False,-1,0,1,2,0,0
