session_id,sheet_name,turn_id,turn_index,needs_history,evaluated,long_range,dependency_type,max_lookback,dependency_distances,gold_turn_ids,required_context,error,build_total_ms,retrieve_context_ms,cross_session_leak_turn_ids,future_turn_leak_turn_ids,cross_session_leak_count,future_turn_leak_count,short_retrieved_turn_ids,mid_page_retrieved_turn_ids,mid_session_retrieved_turn_ids,mid_retrieved_turn_ids,long_retrieved_turn_ids,mid_long_retrieved_turn_ids,all_retrieved_turn_ids,add_submit_ms,migration_job_id,profile_job_id,evicted_turn_ids,short_recall,short_precision,short_hit,short_full_recall,short_mrr,short_gold_count,short_retrieved_count,short_matched_count,mid_page_recall,mid_page_precision,mid_page_hit,mid_page_full_recall,mid_page_mrr,mid_page_gold_count,mid_page_retrieved_count,mid_page_matched_count,mid_session_recall,mid_session_precision,mid_session_hit,mid_session_full_recall,mid_session_mrr,mid_session_gold_count,mid_session_retrieved_count,mid_session_matched_count,mid_recall,mid_precision,mid_hit,mid_full_recall,mid_mrr,mid_gold_count,mid_retrieved_count,mid_matched_count,long_recall,long_precision,long_hit,long_full_recall,long_mrr,long_gold_count,long_retrieved_count,long_matched_count,mid_long_recall,mid_long_precision,mid_long_hit,mid_long_full_recall,mid_long_mrr,mid_long_gold_count,mid_long_retrieved_count,mid_long_matched_count,all_recall,all_precision,all_hit,all_full_recall,all_mrr,all_gold_count,all_retrieved_count,all_matched_count
S001_贵州茅台_投研,S001_贵州茅台_投研,S001-Q001,0,False,False,False,独立问题,0,,,无需前文；本行建立本Session的分析期间、公开来源、指标定义和首轮财务画像,,7038.220552999974,7038.082351999947,,,0,0,,,,,,,,353.340333999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S001_贵州茅台_投研,S001_贵州茅台_投研,S001-Q002,1,True,False,False,相邻承接,1,1,S001-Q001,S001-Q001“先帮我梳理一下贵州茅台2023—2025年的主要财务变化。”中已经确认的三年路径结论、三年原数、指标口径和限制,,120.52386899995327,120.32356700001401,,,0,0,S001-Q001,,,,,,S001-Q001,215.46421099992585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S001_贵州茅台_投研,S001_贵州茅台_投研,S001-Q003,2,True,False,False,相邻承接,1,1,S001-Q002,S001-Q002“刚才先看了整体变化，接着确认一下年报来源、单位和三年比较口径是否一致；先说明能确认的事实……”中已经确认的来源追溯结论、三年原数、指标口径和限制,,81.41722199991364,80.71321600004921,,,0,0,S001-Q001|S001-Q002,,,,,,S001-Q001|S001-Q002,314.25338799999736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S001_贵州茅台_投研,S001_贵州茅台_投研,S001-Q004,3,True,False,False,相邻承接,1,1,S001-Q003,S001-Q003“口径确认后，把刚才提到的关键指标逐年列出来，哪一年变化最明显；请从当前岗位最关心的证据开……”中已经确认的口径一致结论、三年原数、指标口径和限制,,275.59124399999746,275.2906420000727,,,0,0,S001-Q001|S001-Q002|S001-Q003,,,,,,S001-Q001|S001-Q002|S001-Q003,100.9221950000665,77ed5352-2802-4738-96e1-e7906db77a83,,S001-Q001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S001_贵州茅台_投研,S001_贵州茅台_投研,S001-Q005,4,True,False,False,相邻承接＋历史回溯,3,3|1,S001-Q002|S001-Q004,S001-Q002“刚才先看了整体变化，接着确认一下年报来源、单位和三年比较口径是否一致；先说明能确认的事实……”中已经确认的来源追溯结论、三年原数、指标口径和限制；S001-Q004“沿着上一轮的年度变化看，收入规模和利润表现是同步的吗；不要只比较2023年和2025年两……”中已经确认的规模质量结论、三年原数、指标口径和限制,,332.12654599992675,331.80374300002313,,,0,0,S001-Q001|S001-Q002|S001-Q003|S001-Q004,,,,,,S001-Q001|S001-Q002|S001-Q003|S001-Q004,323.6818709999625,b714a3de-36e5-4608-b746-1fcffcedc87d,,S001-Q002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S001_贵州茅台_投研,S001_贵州茅台_投研,S001-Q006,5,True,False,False,相邻承接,1,1,S001-Q005,S001-Q005“刚才如果识别出了拐点，它主要发生在2024年还是2025年；如果指标方向不同，请保留这种……”中已经确认的年度拐点结论、三年原数、指标口径和限制,,970.1682140000685,969.880011999976,,,0,0,S001-Q001|S001-Q002|S001-Q003|S001-Q004|S001-Q005,,,,,,S001-Q001|S001-Q002|S001-Q003|S001-Q004|S001-Q005,165.08923900005357,e86d8234-84c5-4699-a7f3-e0ada7e34cf7,,S001-Q003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S001_贵州茅台_投研,S001_贵州茅台_投研,S001-Q007,6,True,True,True,相邻承接＋历史回溯,6,6|1,S001-Q001|S001-Q006,S001-Q001“先帮我梳理一下贵州茅台2023—2025年的主要财务变化。”中已经确认的三年路径结论、三年原数、指标口径和限制；S001-Q006“再把扣非净利润接进来，前面对盈利趋势的判断需要调整吗；把结论写得可以回到公开来源复算。”中已经确认的扣非差异结论、三年原数、指标口径和限制,,70.72550899999897,70.16789700003301,,,0,0,S001-Q004|S001-Q005|S001-Q006,S001-Q002|S001-Q003|S001-Q001,S001-Q001|S001-Q002|S001-Q003,S001-Q002|S001-Q003|S001-Q001,S001-Q001|S001-Q002|S001-Q003,S001-Q002|S001-Q003|S001-Q001,S001-Q004|S001-Q005|S001-Q006|S001-Q002|S001-Q003|S001-Q001,23.009303000094405,7ec64923-51ab-44b4-bb3a-897288d950ad,,S001-Q004,0.5,0.3333333333333333,1,0,0.3333333333333333,2,3,1,0.5,0.3333333333333333,1,0,0.3333333333333333,2,3,1,0.5,0.3333333333333333,1,0,1.0,2,3,1,0.5,0.3333333333333333,1,0,0.3333333333333333,2,3,1,0.5,0.3333333333333333,1,0,1.0,2,3,1,0.5,0.3333333333333333,1,0,0.3333333333333333,2,3,1,1.0,0.3333333333333333,1,1,0.3333333333333333,2,6,2
S001_贵州茅台_投研,S001_贵州茅台_投研,S001-Q008,7,True,False,False,相邻承接,1,1,S001-Q007,S001-Q007“既然利润口径已经拆开，经营现金流是否支持刚才的盈利质量判断；请明确哪些是年报原数、哪些是……”中已经确认的现金利润结论、三年原数、指标口径和限制,,223.08672199994817,222.29883399995742,,,0,0,S001-Q004|S001-Q005|S001-Q006|S001-Q007,S001-Q003|S001-Q002|S001-Q001,S001-Q001|S001-Q002|S001-Q003,S001-Q003|S001-Q002|S001-Q001,S001-Q001|S001-Q002|S001-Q003,S001-Q003|S001-Q002|S001-Q001,S001-Q004|S001-Q005|S001-Q006|S001-Q007|S001-Q003|S001-Q002|S001-Q001,10.448257000007288,64aa8388-8a38-448c-949e-98dbafc55ab4,,S001-Q005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S001_贵州茅台_投研,S001_贵州茅台_投研,S001-Q009,8,True,False,False,相邻承接,1,1,S001-Q008,S001-Q008“把前面的现金和利润变化放到总资产路径里看，资产扩张得到经营结果支撑了吗；把口径限制放在结……”中已经确认的资产效率结论、三年原数、指标口径和限制,,99.91480700000466,98.77937599992492,,,0,0,S001-Q004|S001-Q005|S001-Q006|S001-Q007|S001-Q008,S001-Q003|S001-Q001|S001-Q002,S001-Q001|S001-Q002|S001-Q003,S001-Q003|S001-Q001|S001-Q002,S001-Q002|S001-Q003|S001-Q001,S001-Q003|S001-Q001|S001-Q002,S001-Q004|S001-Q005|S001-Q006|S001-Q007|S001-Q008|S001-Q003|S001-Q001|S001-Q002,34.74957799994627,3bfb9f01-c06f-4366-9398-76ac4ac26266,,S001-Q006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S001_贵州茅台_投研,S001_贵州茅台_投研,S001-Q010,9,True,False,False,相邻承接＋历史回溯,3,3|1,S001-Q007|S001-Q009,S001-Q007“既然利润口径已经拆开，经营现金流是否支持刚才的盈利质量判断；请明确哪些是年报原数、哪些是……”中已经确认的现金利润结论、三年原数、指标口径和限制；S001-Q009“接着看股东权益，前面这些经营变化最终有没有转化为权益积累；把2024年这个中间点也保留下……”中已经确认的权益积累结论、三年原数、指标口径和限制,,141.77122500007044,141.1301179999782,,,0,0,S001-Q004|S001-Q005|S001-Q006|S001-Q007|S001-Q008|S001-Q009,S001-Q002|S001-Q003|S001-Q001,S001-Q001|S001-Q002|S001-Q003,S001-Q002|S001-Q003|S001-Q001,S001-Q001|S001-Q002|S001-Q003,S001-Q002|S001-Q003|S001-Q001,S001-Q004|S001-Q005|S001-Q006|S001-Q007|S001-Q008|S001-Q009|S001-Q002|S001-Q003|S001-Q001,46.91217399999914,c6f26f87-ead9-4629-afd3-fb0b0df6f718,,S001-Q007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S001_贵州茅台_投研,S001_贵州茅台_投研,S001-Q011,10,True,True,True,相邻承接＋多跳综合,10,10|4|1,S001-Q001|S001-Q007|S001-Q010,S001-Q001“先帮我梳理一下贵州茅台2023—2025年的主要财务变化。”中已经确认的三年路径结论、三年原数、指标口径和限制；S001-Q007“既然利润口径已经拆开，经营现金流是否支持刚才的盈利质量判断；请明确哪些是年报原数、哪些是……”中已经确认的现金利润结论、三年原数、指标口径和限制；S001-Q010“综合刚才几轮，如果现在写一段研究底稿，最稳妥的阶段性结论是什么；结论要能直接接到下一轮继……”中已经确认的投研摘要结论、三年原数、指标口径和限制,,85.68849400001,84.5108830000072,,,0,0,S001-Q008|S001-Q009|S001-Q010,S001-Q004|S001-Q007|S001-Q005|S001-Q003|S001-Q006,S001-Q001|S001-Q002|S001-Q003|S001-Q004|S001-Q005|S001-Q006|S001-Q007,S001-Q004|S001-Q007|S001-Q005|S001-Q003|S001-Q006|S001-Q001|S001-Q002,S001-Q004|S001-Q001|S001-Q007|S001-Q006|S001-Q002|S001-Q003|S001-Q005,S001-Q004|S001-Q007|S001-Q005|S001-Q003|S001-Q006|S001-Q001|S001-Q002,S001-Q008|S001-Q009|S001-Q010|S001-Q004|S001-Q007|S001-Q005|S001-Q003|S001-Q006|S001-Q001|S001-Q002,12.065710999991097,06f28bf5-3a2b-4af5-972b-06289bd9cb7e,,S001-Q008,0.3333333333333333,0.3333333333333333,1,0,0.3333333333333333,3,3,1,0.3333333333333333,0.2,1,0,0.5,3,5,1,0.6666666666666666,0.2857142857142857,1,0,1.0,3,7,2,0.6666666666666666,0.2857142857142857,1,0,0.5,3,7,2,0.6666666666666666,0.2857142857142857,1,0,0.5,3,7,2,0.6666666666666666,0.2857142857142857,1,0,0.5,3,7,2,1.0,0.3,1,1,0.3333333333333333,3,10,3
S001_贵州茅台_投研,S001_贵州茅台_投研,S001-Q012,11,True,False,False,相邻承接,1,1,S001-Q011,S001-Q011“前面的整体画像已经有了，接下来沿着营业收入把三年盈利路径拆开；请区分最新一年的边际变化和……”中已经确认的三年路径结论、三年原数、指标口径和限制,,164.48884199996883,163.47043099995062,,,0,0,S001-Q008|S001-Q009|S001-Q010|S001-Q011,S001-Q006|S001-Q004|S001-Q003|S001-Q007|S001-Q002,S001-Q001|S001-Q002|S001-Q003|S001-Q004|S001-Q005|S001-Q006|S001-Q007,S001-Q006|S001-Q004|S001-Q003|S001-Q007|S001-Q002|S001-Q001|S001-Q005,S001-Q001|S001-Q007|S001-Q005|S001-Q006|S001-Q004|S001-Q002|S001-Q003,S001-Q006|S001-Q004|S001-Q003|S001-Q007|S001-Q002|S001-Q001|S001-Q005,S001-Q008|S001-Q009|S001-Q010|S001-Q011|S001-Q006|S001-Q004|S001-Q003|S001-Q007|S001-Q002|S001-Q001|S001-Q005,12.31143500001508,24a620bf-620c-43a5-a1e9-f03d5f1f7e4a,,S001-Q009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S001_贵州茅台_投研,S001_贵州茅台_投研,S001-Q013,12,True,True,True,相邻承接＋多跳综合,12,12|7|1,S001-Q001|S001-Q006|S001-Q012,S001-Q001“先帮我梳理一下贵州茅台2023—2025年的主要财务变化。”中已经确认的三年路径结论、三年原数、指标口径和限制；S001-Q006“再把扣非净利润接进来，前面对盈利趋势的判断需要调整吗；把结论写得可以回到公开来源复算。”中已经确认的扣非差异结论、三年原数、指标口径和限制；S001-Q012“刚才看了收入，再看归母净利润，两者的增减方向和幅度匹配吗；回答时同时保留一项可能的反证。”中已经确认的规模质量结论、三年原数、指标口径和限制,,67.47182499998416,66.82931900002131,,,0,0,S001-Q010|S001-Q011|S001-Q012,S001-Q004|S001-Q009|S001-Q005|S001-Q008|S001-Q002,S001-Q001|S001-Q002|S001-Q003|S001-Q004|S001-Q005|S001-Q006|S001-Q007|S001-Q008|S001-Q009,S001-Q004|S001-Q009|S001-Q005|S001-Q008|S001-Q002|S001-Q001|S001-Q003|S001-Q006|S001-Q007,S001-Q004|S001-Q001|S001-Q009|S001-Q006|S001-Q003|S001-Q002|S001-Q005|S001-Q007|S001-Q008,S001-Q004|S001-Q009|S001-Q005|S001-Q008|S001-Q002|S001-Q001|S001-Q003|S001-Q006|S001-Q007,S001-Q010|S001-Q011|S001-Q012|S001-Q004|S001-Q009|S001-Q005|S001-Q008|S001-Q002|S001-Q001|S001-Q003|S001-Q006|S001-Q007,10.134394000033353,bdcd3f70-e75f-4375-86b3-7c9dbfad5707,,S001-Q010,0.3333333333333333,0.3333333333333333,1,0,0.3333333333333333,3,3,1,0.0,0.0,0,0,0.0,3,5,0,0.6666666666666666,0.2222222222222222,1,0,1.0,3,9,2,0.6666666666666666,0.2222222222222222,1,0,0.16666666666666666,3,9,2,0.6666666666666666,0.2222222222222222,1,0,0.5,3,9,2,0.6666666666666666,0.2222222222222222,1,0,0.16666666666666666,3,9,2,1.0,0.25,1,1,0.3333333333333333,3,12,3
S001_贵州茅台_投研,S001_贵州茅台_投研,S001-Q014,13,True,True,True,相邻承接＋历史回溯,6,6|1,S001-Q008|S001-Q013,S001-Q008“把前面的现金和利润变化放到总资产路径里看，资产扩张得到经营结果支撑了吗；把口径限制放在结……”中已经确认的资产效率结论、三年原数、指标口径和限制；S001-Q013“上一轮的差异具体集中在哪个年度，能否把两段同比分别解释清楚；别只复述数字，要说明它和上一……”中已经确认的年度拐点结论、三年原数、指标口径和限制,,75.32864699999209,74.36997299998893,,,0,0,S001-Q011|S001-Q012|S001-Q013,S001-Q008|S001-Q006|S001-Q007|S001-Q004|S001-Q010,S001-Q001|S001-Q002|S001-Q003|S001-Q004|S001-Q005|S001-Q006|S001-Q007|S001-Q008|S001-Q009|S001-Q010,S001-Q008|S001-Q006|S001-Q007|S001-Q004|S001-Q010|S001-Q001|S001-Q002|S001-Q003|S001-Q005|S001-Q009,S001-Q002|S001-Q006|S001-Q001|S001-Q007|S001-Q008|S001-Q009|S001-Q004|S001-Q003|S001-Q005|S001-Q010,S001-Q008|S001-Q006|S001-Q007|S001-Q004|S001-Q010|S001-Q001|S001-Q002|S001-Q003|S001-Q005|S001-Q009,S001-Q011|S001-Q012|S001-Q013|S001-Q008|S001-Q006|S001-Q007|S001-Q004|S001-Q010|S001-Q001|S001-Q002|S001-Q003|S001-Q005|S001-Q009,10.92910199997732,02f5fa70-3234-4f03-be0c-bd2db2247eae,,S001-Q011,0.5,0.3333333333333333,1,0,0.3333333333333333,2,3,1,0.5,0.2,1,0,1.0,2,5,1,0.5,0.1,1,0,0.125,2,10,1,0.5,0.1,1,0,1.0,2,10,1,0.5,0.1,1,0,0.2,2,10,1,0.5,0.1,1,0,1.0,2,10,1,1.0,0.15384615384615385,1,1,0.3333333333333333,2,13,2
S001_贵州茅台_投研,S001_贵州茅台_投研,S001-Q015,14,True,False,False,相邻承接＋历史回溯,3,3|1,S001-Q012|S001-Q014,S001-Q012“刚才看了收入，再看归母净利润，两者的增减方向和幅度匹配吗；回答时同时保留一项可能的反证。”中已经确认的规模质量结论、三年原数、指标口径和限制；S001-Q014“接着加入扣非净利润，刚才看到的利润变化有多少属于持续经营口径；请先给结论，再说明三年依据……”中已经确认的扣非差异结论、三年原数、指标口径和限制,,154.70268299998224,153.73230900002,,,0,0,S001-Q011|S001-Q012|S001-Q013|S001-Q014,S001-Q008|S001-Q006|S001-Q004|S001-Q010|S001-Q005,S001-Q001|S001-Q002|S001-Q003|S001-Q004|S001-Q005|S001-Q006|S001-Q007|S001-Q008|S001-Q009|S001-Q010,S001-Q008|S001-Q006|S001-Q004|S001-Q010|S001-Q005|S001-Q001|S001-Q002|S001-Q003|S001-Q007|S001-Q009,S001-Q007|S001-Q003|S001-Q004|S001-Q001|S001-Q006|S001-Q005|S001-Q009|S001-Q008|S001-Q002|S001-Q010,S001-Q008|S001-Q006|S001-Q004|S001-Q010|S001-Q005|S001-Q001|S001-Q002|S001-Q003|S001-Q007|S001-Q009,S001-Q011|S001-Q012|S001-Q013|S001-Q014|S001-Q008|S001-Q006|S001-Q004|S001-Q010|S001-Q005|S001-Q001|S001-Q002|S001-Q003|S001-Q007|S001-Q009,12.815251000006356,fef047d2-8bf3-4bfd-ae5c-e8fff518babc,,S001-Q012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S001_贵州茅台_投研,S001_贵州茅台_投研,S001-Q016,15,True,False,False,相邻承接,1,1,S001-Q015,S001-Q015“基于前面的收入和利润原数，近似利润率发生了什么变化；请把两段同比分开，不要合成一个趋势词……”中已经确认的比率拆解结论、三年原数、指标口径和限制,,88.1266979999964,87.02422800001841,,,0,0,S001-Q011|S001-Q012|S001-Q013|S001-Q014|S001-Q015,S001-Q005|S001-Q008|S001-Q006|S001-Q010|S001-Q007,S001-Q001|S001-Q002|S001-Q003|S001-Q004|S001-Q005|S001-Q006|S001-Q007|S001-Q008|S001-Q009|S001-Q010,S001-Q005|S001-Q008|S001-Q006|S001-Q010|S001-Q007|S001-Q001|S001-Q002|S001-Q003|S001-Q004|S001-Q009,S001-Q005|S001-Q006|S001-Q007|S001-Q001|S001-Q008|S001-Q009|S001-Q002|S001-Q004|S001-Q010|S001-Q003,S001-Q005|S001-Q008|S001-Q006|S001-Q010|S001-Q007|S001-Q001|S001-Q002|S001-Q003|S001-Q004|S001-Q009,S001-Q011|S001-Q012|S001-Q013|S001-Q014|S001-Q015|S001-Q005|S001-Q008|S001-Q006|S001-Q010|S001-Q007|S001-Q001|S001-Q002|S001-Q003|S001-Q004|S001-Q009,16.16855999998279,9c6f7d28-2bdc-496b-b33e-d93c16ccca6f,,S001-Q013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
