session_id,turn_count,evaluated_count,error_count,wall_clock_seconds,migration_job_count,mid_long_recall,mid_long_precision,all_recall,full_dependency_recall
S001_贵州茅台_投研,28,11,1,326.0252313050005,24,1.0,0.13726715203987933,1.0,1.0
S002_贵州茅台_内审,26,11,1,310.40309324600094,22,0.9545454545454546,0.13848251421780833,1.0,0.9090909090909091
S003_比亚迪_风委,30,13,1,327.3020385409909,26,0.9615384615384616,0.12448246198246198,1.0,0.9230769230769231
S004_比亚迪_IR,26,10,1,312.0201489369938,22,1.0,0.1464484126984127,1.0,1.0
S005_宁德时代_合规,28,12,1,313.9258415400109,24,0.9583333333333334,0.13073018348753643,1.0,0.9166666666666666
S006_宁德时代_审委,28,11,1,315.0552398709988,24,1.0,0.13726715203987933,1.0,1.0
S007_美的集团_授信,26,10,1,315.19346507299633,22,1.0,0.1464484126984127,1.0,1.0
S008_美的集团_供应链,28,12,1,322.5775681100058,24,0.9583333333333334,0.13138377825877826,1.0,0.9166666666666666
S009_招商银行_并购,24,9,1,319.85295929900894,20,1.0,0.15716490299823635,1.0,1.0
S010_招商银行_采购,24,10,1,333.1357829089975,20,0.95,0.14733076563958916,1.0,0.9
