session_id,prompt,query_count,changed_query_count,eligible_gold_count,r5,delta_vs_baseline_r5,r10,r20,mrr,mean_gold_rank,promoted_gold,demoted_gold,net_gold_gain,rescued_query_count,hurt_query_count
S001,Baseline,14,0,21,0.3333333333333333,0.0,0.5714285714285714,0.8571428571428571,0.3321719286005,10.238095238095237,0,0,0,0,0
S001,P0,14,1,21,0.3333333333333333,0.0,0.5714285714285714,0.8095238095238095,0.36788621431478574,10.380952380952381,0,0,0,0,0
S001,P2,14,9,21,0.3333333333333333,0.0,0.5238095238095238,0.8571428571428571,0.3244124922696351,10.333333333333334,1,1,0,1,1
S001,P4,14,8,21,0.38095238095238093,0.047619047619047616,0.6190476190476191,0.7619047619047619,0.3316746745318174,10.523809523809524,2,1,1,1,0
S002,Baseline,21,0,32,0.4375,0.0,0.6875,0.90625,0.30921758119900533,9.78125,0,0,0,0,0
S002,P0,21,2,32,0.4375,0.0,0.6875,0.875,0.31116266129053854,9.875,0,0,0,0,0
S002,P2,21,7,32,0.46875,0.03125,0.625,0.875,0.32845253727606666,10.25,1,0,1,1,0
S002,P4,21,4,32,0.40625,-0.03125,0.6875,0.90625,0.30921991804344745,9.875,0,1,-1,0,1
S003,Baseline,26,0,43,0.23255813953488372,0.0,0.4186046511627907,0.5813953488372093,0.251890510659486,20.58139534883721,0,0,0,0,0
S003,P0,26,4,43,0.23255813953488372,0.0,0.3953488372093023,0.5813953488372093,0.24770095021992555,20.86046511627907,0,0,0,0,0
S003,P2,26,15,43,0.2558139534883721,0.023255813953488386,0.4418604651162791,0.6046511627906976,0.2778337920596871,20.651162790697676,2,1,1,2,1
S003,P4,26,6,43,0.23255813953488372,0.0,0.4186046511627907,0.5813953488372093,0.24875198252095784,21.348837209302324,0,0,0,0,0
S004,Baseline,21,0,32,0.21875,0.0,0.4375,0.6875,0.23194041924156755,16.84375,0,0,0,0,0
S004,P0,21,5,32,0.3125,0.09375,0.4375,0.6875,0.23194041924156755,16.625,3,0,3,1,0
S004,P2,21,13,32,0.28125,0.0625,0.46875,0.71875,0.2299597060361617,16.59375,3,1,2,2,1
S004,P4,21,6,32,0.21875,0.0,0.4375,0.6875,0.21096536255222517,16.75,1,1,0,1,1
S005,Baseline,17,0,26,0.46153846153846156,0.0,0.5769230769230769,0.8076923076923077,0.38994798344643544,11.23076923076923,0,0,0,0,0
S005,P0,17,1,26,0.46153846153846156,0.0,0.5769230769230769,0.8076923076923077,0.38994798344643544,11.192307692307692,0,0,0,0,0
S005,P2,17,6,26,0.46153846153846156,0.0,0.6153846153846154,0.8461538461538461,0.39185123012522394,10.653846153846153,0,0,0,0,0
S005,P4,17,8,26,0.38461538461538464,-0.07692307692307693,0.5769230769230769,0.8076923076923077,0.3178977598482242,11.76923076923077,0,2,-2,0,2
