session_id,prompt,query_count,changed_query_count,eligible_gold_count,baseline_r5,variant_r5,delta_r5,r10,r20,mrr,mean_gold_rank,promoted_gold,demoted_gold,net_gold_gain,rescued_query_count,hurt_query_count
S001,P0,14,1,21,0.3333333333333333,0.3333333333333333,0.0,0.5714285714285714,0.8095238095238095,0.36788621431478574,10.380952380952381,0,0,0,0,0
S001,P1,14,12,21,0.3333333333333333,0.38095238095238093,0.047619047619047616,0.6190476190476191,0.8095238095238095,0.3735466914038343,10.047619047619047,3,2,1,2,1
S001,P2,14,9,21,0.3333333333333333,0.3333333333333333,0.0,0.5238095238095238,0.8571428571428571,0.3244124922696351,10.333333333333334,1,1,0,1,1
S001,P3,14,11,21,0.3333333333333333,0.3333333333333333,0.0,0.5714285714285714,0.8571428571428571,0.3734745413316842,10.238095238095237,2,2,0,1,1
S002,P0,21,2,32,0.4375,0.4375,0.0,0.6875,0.875,0.31116266129053854,9.875,0,0,0,0,0
S002,P1,21,17,32,0.4375,0.40625,-0.03125,0.5625,0.78125,0.3313488250813535,12.375,1,2,-1,1,2
S002,P2,21,7,32,0.4375,0.46875,0.03125,0.625,0.875,0.32845253727606666,10.25,1,0,1,1,0
S002,P3,21,19,32,0.4375,0.375,-0.0625,0.59375,0.8125,0.31123181912218456,11.40625,1,3,-2,1,3
S003,P0,26,4,43,0.23255813953488372,0.23255813953488372,0.0,0.3953488372093023,0.5813953488372093,0.24770095021992555,20.86046511627907,0,0,0,0,0
S003,P1,26,24,43,0.23255813953488372,0.20930232558139536,-0.023255813953488358,0.4186046511627907,0.6046511627906976,0.2585588751474791,21.25581395348837,0,1,-1,0,1
S003,P2,26,15,43,0.23255813953488372,0.2558139534883721,0.023255813953488386,0.4418604651162791,0.6046511627906976,0.2778337920596871,20.651162790697676,2,1,1,2,1
S003,P3,26,21,43,0.23255813953488372,0.23255813953488372,0.0,0.4418604651162791,0.6511627906976745,0.2423137573122592,20.6046511627907,1,1,0,1,1
S004,P0,21,5,32,0.21875,0.3125,0.09375,0.4375,0.6875,0.23194041924156755,16.625,3,0,3,1,0
S004,P1,21,18,32,0.21875,0.34375,0.125,0.53125,0.6875,0.24866620938049508,16.34375,5,1,4,4,1
S004,P2,21,13,32,0.21875,0.28125,0.0625,0.46875,0.71875,0.2299597060361617,16.59375,3,1,2,2,1
S004,P3,21,19,32,0.21875,0.3125,0.09375,0.5,0.71875,0.23559444943719585,15.25,5,2,3,4,2
S005,P0,17,1,26,0.46153846153846156,0.46153846153846156,0.0,0.5769230769230769,0.8076923076923077,0.38994798344643544,11.192307692307692,0,0,0,0,0
S005,P1,17,13,26,0.46153846153846156,0.4230769230769231,-0.03846153846153849,0.6153846153846154,0.8076923076923077,0.4178199509468859,11.115384615384615,1,2,-1,1,2
S005,P2,17,6,26,0.46153846153846156,0.46153846153846156,0.0,0.6153846153846154,0.8461538461538461,0.39185123012522394,10.653846153846153,0,0,0,0,0
S005,P3,17,14,26,0.46153846153846156,0.38461538461538464,-0.07692307692307693,0.6153846153846154,0.8461538461538461,0.43665130701872645,10.653846153846153,0,2,-2,0,2
