session_id,gold_query_count,gold_requirement_count,shortterm_hit_count,shortterm_requirement_recall,mean_query_completion,full_complete_query_count,zero_complete_query_count
S001,49,51,27,0.5294117647058824,0.5204081632653061,25,23
S002,72,77,39,0.5064935064935064,0.5,34,34
S003,92,97,51,0.5257731958762887,0.5108695652173914,46,44
S004,73,78,39,0.5,0.4931506849315068,34,35
S005,57,62,31,0.5,0.49122807017543857,26,27
S006,79,83,42,0.5060240963855421,0.5,38,38
S007,95,100,50,0.5,0.49473684210526314,45,46
S008,60,64,33,0.515625,0.5083333333333333,29,28
S009,71,75,38,0.5066666666666667,0.5,34,34
S010,94,99,50,0.5050505050505051,0.5,45,45
